Station,Field Asset Name,X,Y,Z,Customer Name,Site
KSHU00USA,00871-01:1018858074,-693978.3626,-4980596.039,3910922.62,Swift,CONUS 1.0South CentralKSUSA001689
KSKA00USA,00871-01:1993,-421631.6852,-4937341.081,4002609.907,Swift,CONUS 1.0South CentralKSUSA001690
KYME00USA,00871-01:1988,539262.1317,-4959918.764,3960611.825,Swift,CONUS 1.0SoutheastKYUSA001691
KYPD00USA,00871-01:2049,125193.0917,-5093157.414,3824543.77,Swift,CONUS 1.0SoutheastKYUSA001692
LADE00USA,00871-01:2081,-91557.6285,-5495720.969,3224774.473,Swift,CONUS 1.0South CentralLAUSA001693
LAOD00USA,00871-01:2193005,-254634.09,-5476618.036,3248317.926,Swift,CONUS 1.0South CentralLAUSA001694
LARS00USA,00871-01:2193050,-36926.0661,-5551700.088,3129166.006,Swift,CONUS 1.0South CentralLA 70373USA001695
LASP00USA,00871-01:2193054,-351374.7267,-5373392.435,3406801.613,Swift,CONUS 1.0South CentralLA 71109USA001696
MAEA00USA,00871-01:2193038,1588494.33,-4506841.228,4210225.414,Swift,CONUS 1.0NortheastMAUSA001698
MASG00USA,00871-01:2193139,1532149.079,-4453886.749,4286277.867,Swift,MASG_USA002049
MDBA00USA,00871-01:2193040,1137922.097,-4805972.302,4022537.287,Swift,CONUS 1.0NortheastMDUSA001699
MEEW00USA,00871-01:2193136,1674469.036,-4234397.676,4451184.392,Swift,MEEW_USA001923
MEMW00USA,00871-01:2193059,1598127.699,-4023193.195,4668594.519,Swift,CONUS 1.0NortheastMEUSA001700
MEPL00USA,00871-01:2051,1541854.876,-4272688.428,4462600.79,Swift,CONUS 1.0NortheastMEUSA001701
MIAL00USA,00871-01:2193029,516196.6863,-4483310.493,4492212.801,Swift,CONUS 1.0MidwestMI 49707USA001702
MICY00USA,00871-01:1899,518861.722,-4696295.466,4270411.662,Swift,CONUS 1.0MidwestMIUSA001703
MIDB00USA,00871-01:2193053,560350.2004,-4690002.777,4271953.02,Swift,IntegrityMidwestMIUSA001704
MIGB00USA,00871-03:2016040285,519243.7889,-4648884.512,4321571.632,Swift,CONUS 1.0MidwestMIUSA001706
MIGR00USA,00871-01:1931,418682.6304,-4524991.4,4460909.017,Swift,CONUS 1.0MidwestMIUSA001707
MIMI00USA,00871-03:2016040248,521650.642,-4712062.452,4252712.194,Swift,CONUS 1.0MidwestMIUSA001708
MIMK00USA,00871-01:2193023,304060.5084,-4644389.0,4346554.239,Swift,IntegrityMidwestMIUSA001709
MINB00USA,00871-01:1930,345218.4495,-4396485.951,4592703.208,Swift,CONUS 1.0MidwestMIUSA001710
MIUP00USA,00871-01:1958,107764.411,-4346138.126,4651527.355,Swift,CONUS 1.0MidwestMIUSA001712
MIWL00USA,00871-01:1916,532194.684,-4668408.216,4299090.861,Swift,CONUS 1.0MidwestMIUSA001713
MNAE00USA,00871-01:2040,-383271.3768,-4347420.054,4636184.341,Swift,CONUS 1.0MidwestMNUSA001714
MNAS00USA,00871-01:1959,-266987.7785,-4330531.286,4659854.637,Swift,CONUS 1.0MidwestMNUSA001715
MNGM01USA,00871-03:2193049,-25070.6249,-4296441.296,4698283.676,Swift,CONUS 1.0MidwestMNUSA001716
MNMH00USA,00871-01:1966,-513875.0115,-4337765.641,4632388.191,Swift,CONUS 1.0MidwestMNUSA001717
MNSC00USA,00871-01:1954,-385061.4087,-4442865.616,4545187.804,Swift,CONUS 1.0MidwestMNUSA001718
